Date,Country,Avg_Tone,Avg_Stability,Total_Mentions,Panic_Index
20190514,US,-2.917040327006191,0.3622395833333333,50184,0.0833333333333333
20190514,IN,-2.690868572703617,0.9121568627450982,4802,0.0823529411764705
20190515,IN,-2.7801825076191338,-0.7641148325358855,3999,0.1722488038277512
20190515,US,-3.319924040970464,-0.0686634066829665,54185,0.1067644661776691
20190516,US,-3.4692239356035883,-0.3057897174617877,47770,0.1148679944418712
20190516,IN,-3.1026127452569465,-0.7013513513513512,4438,0.1621621621621621
20190517,US,-2.969535288642956,0.1731943031536113,44134,0.0991861648016276
20190517,IN,-2.8098305734019915,-0.932620320855615,3584,0.1336898395721925
20190518,IN,-2.7940866970852416,-0.3270967741935486,2940,0.1741935483870967
20190518,US,-2.853051889861004,-0.1490456431535269,26171,0.1344398340248962
20190519,US,-2.5391437444059983,0.2178255372945638,16919,0.1099873577749683
20190519,IN,-1.994607829537193,-0.3000000000000001,2663,0.1376811594202898
20190520,US,-2.781933747190023,0.0053143227478937,33299,0.1101749837977965
20190520,IN,-2.360347065478228,-0.2880382775119618,4185,0.1339712918660287
20190521,US,-3.108604262872172,0.0755764705882351,50851,0.0936470588235294
20190521,IN,-2.8157071671776004,-0.1772727272727271,3969,0.1363636363636363
20190522,US,-3.3398737909436007,0.0286284953395472,47995,0.1011984021304926
20190522,IN,-1.84397068987854,-0.3178770949720674,3783,0.1396648044692737
20190523,US,-3.250683889430002,0.1642119443197125,48155,0.0924596050269299
20190523,IN,-0.2013378208454571,0.8810408921933085,7742,0.0520446096654275
20190524,US,-2.9325301940339985,0.3705440900562854,46776,0.098030018761726
20190524,IN,-1.1398538462686163,0.8119230769230764,5171,0.1038461538461538
20190525,IN,-0.7369934536867724,1.3721393034825866,3797,0.0646766169154228
20190525,US,-2.796411430556764,0.3130507065669162,30123,0.0964256026600166
20190526,IN,-1.7732305322821569,-0.1712962962962963,1911,0.1203703703703703
20190526,US,-2.6757274263562656,-0.0417968749999999,15807,0.1119791666666666
20190527,IN,-1.990024735412259,-0.1862433862433864,3298,0.0952380952380952
20190527,US,-2.1691889649429337,0.5290721649484535,20315,0.0783505154639175
20190528,US,-2.596801164392702,0.6030947775628624,33440,0.0909090909090909
20190528,IN,-1.7947347150524908,0.4875675675675675,3415,0.081081081081081
20190529,IN,-1.514273473797809,0.4217021276595744,4333,0.102127659574468
20190529,US,-2.5850070620836663,0.156146694214876,39565,0.1069214876033057
20190530,IN,-1.2205826324593467,0.5507042253521126,4160,0.0845070422535211
20190530,US,-2.997354743251451,0.3170831208567056,45313,0.0933197348291687
20190531,IN,-1.3566624523045538,0.8903669724770642,4481,0.0642201834862385
20190531,US,-3.4032465371241574,-0.0173553719008264,40875,0.1063360881542699
20190601,IN,-1.375924246005651,0.4639423076923076,4161,0.0817307692307692
20190601,US,-3.1916461939964944,-0.1898743016759775,31600,0.1033519553072625
20190602,US,-2.6676594488680894,0.1947426067907993,19931,0.1150054764512595
20190602,IN,-1.840389210061346,-0.3822033898305085,2267,0.1186440677966101
20190603,IN,-2.0433242303724573,0.1251231527093595,4688,0.1083743842364532
20190603,US,-2.6255604957925325,-0.0157490396927016,32554,0.1011523687580025
20190604,IN,-2.3794166802434686,0.6651162790697674,4402,0.0651162790697674
20190604,US,-2.6983872087130525,0.1843083900226758,48470,0.0929705215419501
20190605,US,-3.1865800800714004,0.0042783059636991,50561,0.1058772687986171
20190605,IN,-1.276272481845908,1.0479768786127177,3365,0.0867052023121387
20190606,US,-2.941053474480133,0.0903798717316231,44038,0.1055747409965466
20190606,IN,-1.3252950990175223,0.1421052631578947,3226,0.0994152046783625
20190607,US,-3.209020896916365,-0.1321389793702496,40481,0.1074918566775244
20190607,IN,-3.259079782305983,-0.4651741293532337,3646,0.1492537313432835
20190608,IN,-1.3190277321329296,0.1110465116279068,3150,0.1104651162790697
20190608,US,-2.614447772762381,0.4216148023549202,25924,0.0740117746005046
20190609,US,-2.3666596756656584,-0.2820441988950274,14872,0.1256906077348066
20190609,IN,-2.830637831574259,-1.093788819875776,3049,0.1987577639751552
