Date,USD_to_INR,Goldstein_Mean,Goldstein_Median,Goldstein_Sum,Event_Count,Total_Mentions,Avg_Tone
2025-07-18,86.14,0.0201134541867061,1.0,163.09999999999994,8109,41596,-2.044276946726482
2025-07-21,86.29,0.1684534731323722,1.0,1285.3,7630,40623,-2.4483731119878347
2025-07-22,86.43,0.4907022619673855,1.0,3731.3,7604,41099,-2.158192705537713
2025-07-23,86.42,0.3550990559765988,1.0,2670.7,7521,39730,-1.9714072796212256
2025-07-24,86.39,0.7824586913417052,1.9,5919.3,7565,40635,-1.6841119796032569
2025-07-25,86.51,0.766949512091642,1.9,5423.1,7071,36976,-1.3372140440493083
2025-07-28,86.7,-0.1019957705524716,1.0,-771.7,7566,39203,-2.6777292551670158
2025-07-29,86.85,-0.2484614511184285,0.0,-2188.2,8807,43896,-2.97008935076899
2025-07-30,87.49,0.1615588013094938,1.0,1283.1,7942,41233,-2.589500948785345
2025-07-31,87.63,0.5945491479516984,1.0,5268.3,8861,45031,-2.427447748205604
2025-08-01,87.5,0.4601593165550681,1.0,3985.9,8662,45308,-2.2111661166951304
2025-08-04,87.65,0.4752866838286918,1.0,4061.8,8546,43641,-2.039309006110565
2025-08-05,87.78,0.5185181131662471,1.0,4737.7,9137,45408,-1.880888893812538
2025-08-06,87.72,0.7544125728101989,1.0,6864.4,9099,45098,-1.807019692145538
2025-08-07,87.49,0.7464551634833279,1.0,6917.4,9267,47354,-2.028967286458357
2025-08-08,87.62,0.7259088918090232,1.0,6629.0,9132,45298,-1.86459400658169
2025-08-11,87.74,0.1683744931809804,1.0,1370.4,8139,42938,-2.305733275411511
2025-08-12,87.7,0.4822424091587854,1.0,3875.3,8036,42101,-1.903642058749678
2025-08-13,87.45,0.3789793592503482,1.0,2992.8,7897,41849,-1.9190710980352024
2025-08-14,87.57,0.3437696208645254,1.0,2847.1,8282,43150,-1.8209244894670369
2025-08-15,87.46,0.6992024811696943,1.9,4734.3,6771,35931,-0.3443645377040676
2025-08-18,87.38,0.7636295463067116,1.0,6109.8,8001,41194,-1.6001909439061075
2025-08-19,87.09,1.0890030002307869,1.9,9437.3,8666,45388,-1.0773220035085525
2025-08-20,87.06,0.3283628779979144,1.0,2834.1,8631,43403,-2.281177006471323
2025-08-21,87.27,0.59425411708138,1.0,4943.6,8319,43406,-1.81093694458582
2025-08-22,87.53,0.6179952550415183,1.0,5209.7,8430,43740,-1.6396799355663123
2025-08-25,87.56,0.6432971692230952,1.0,5158.6,8019,42352,-1.3663288378705167
2025-08-26,87.62,0.875768049155146,1.9,6841.5,7812,40400,-1.2042577612941796
2025-08-27,87.76,0.7350174723354689,1.9,5048.1,6868,35762,-1.6680336559204458
2025-08-28,87.57,0.6075508353840176,1.0,4690.9,7721,39108,-1.8124067133298445
2025-08-29,88.18,0.7196864559239271,1.0,5600.6,7782,39661,-1.667359173946377
2025-09-01,88.19,0.9676643938518432,1.9,8373.2,8653,41584,-1.5611935091736715
2025-09-02,88.08,0.7886019090398653,1.9,7022.5,8905,44212,-1.645475541019293
2025-09-03,88.03,0.9058593272171254,1.9,7405.4,8175,40028,-1.37521941065603
2025-09-04,88.12,0.8269469246031746,1.9,6668.5,8064,42429,-1.0116235398290037
2025-09-05,88.24,0.8430936995153473,1.9,6262.5,7428,38005,-1.184350406607184
2025-09-08,88.04,0.7921013812525144,1.9,5906.7,7457,39250,-1.5694590589168165
2025-09-09,88.17,0.6345115502365711,1.0,4559.6,7186,39526,-1.6225906540507498
2025-09-10,88.12,0.7438306659783169,1.9,5763.2,7748,39083,-1.582362282045585
2025-09-11,88.43,0.7750764525993884,1.9,6082.8,7848,39190,-1.301303245023718
2025-09-12,88.27,0.5899125756556826,1.9,4386.0,7435,38215,-1.8016116690024468
2025-09-15,88.14,0.6436205846528624,1.9,4227.3,6568,35202,-1.3255256257050223
2025-09-16,88.05,0.9764999287444778,1.9,6852.1,7017,36837,-1.370078480034112
2025-09-17,87.85,0.7048076923076924,1.9,5570.8,7904,40960,-0.5621182902127281
2025-09-18,88.11,0.4500587084148728,1.0,3449.7,7665,41186,-1.6050504995653387
2025-09-19,88.16,0.3386939955327815,1.0,2577.8,7611,38956,-1.7951702880534286
2025-09-22,88.28,0.8152794292508918,1.9,5485.2,6728,35938,-0.7532367055160208
2025-09-23,88.77,0.8987058658039104,1.9,6388.9,7109,38330,-0.965475013183823
2025-09-24,88.7,0.5680598491405959,1.0,4593.9,8087,43051,-1.7707029934137468
2025-09-25,88.69,0.890228013029316,1.9,6559.2,7368,39181,-1.5437159074790578
2025-09-26,88.72,0.6315704128726457,1.0,5063.3,8017,40204,-1.514723398702674
2025-09-29,88.75,0.4966904909881914,1.0,3196.7,6436,33467,-1.6440712026209272
2025-09-30,88.79,0.5143097385720837,1.0,3364.1,6541,34768,-1.7227736442011203
2025-10-01,88.72,0.6733732599546779,1.9,4160.1,6178,32843,-1.5229059699754983
2025-10-02,88.72,0.4026013513513514,1.0,2383.4,5920,30394,-1.44391579765689
2025-10-03,88.78,0.3837545633249087,1.0,2733.1,7122,36445,-1.6814161535122036
2025-10-06,88.78,0.5286052338530067,1.0,3797.5,7184,39634,-1.4982954868332503
2025-10-07,88.75,0.3912015257469802,1.0,3076.8,7865,41156,-1.4143858992142526
2025-10-08,88.76,0.6446850637297364,1.9,5209.7,8081,41743,-1.213721078260234
