Date,US_Avg_Tone,US_Avg_Stability,US_Total_Mentions,US_Event_Count,US_Crisis_Events
20200921,-2.1916731847650888,0.4364914877868245,27215,1351,126
20200922,-2.1260073875378405,0.4232773595830918,34897,1727,159
20200923,-2.4803576934060287,-0.0691259931895573,34786,1762,191
20200924,-2.9657561019595646,-0.3514214463840398,40379,2005,239
20200925,-2.9758850959773966,0.0618898623279098,30647,1598,157
20200926,-2.7046120190453813,-0.3603015075376884,21934,995,121
20200927,-2.759828198713387,-0.1806791569086651,17647,854,100
20200928,-2.7318826033229864,0.0631967213114753,26098,1220,121
20200929,-2.551023912666985,0.1528947368421052,30099,1520,148
20200930,-2.6034729868812123,0.4257738471257107,30876,1583,129
20201001,-2.407187523756237,0.5856481481481481,29222,1512,116
20201002,-2.6996691322189244,0.322443729903537,31549,1555,111
20201003,-2.245581979349233,0.3821266968325791,19280,884,98
20201004,-1.7446322060451076,0.3822033898305085,11444,590,57
20201005,-2.437168527655013,0.4500877192982457,23196,1140,114
20201006,-2.368797617099604,0.5774755927475588,31463,1434,110
20201007,-2.5493807101415444,0.6231145251396651,29502,1432,110
20201008,-2.7923212308873904,0.1918396564065855,27281,1397,115
20201009,-3.1796018165178617,-0.0112820512820513,28990,1365,118
20201010,-2.7573849004421653,0.5256306760847628,20745,991,69
20201011,-2.6515813960035968,0.1517350157728706,12131,634,59
20201012,-2.377199748576067,0.1798216276477144,18167,897,93
20201013,-2.094114136803168,0.6637160385626644,22408,1141,86
20201014,-2.151667251771404,0.4668122270742358,26906,1374,105
20201015,-1.8922466168120529,0.9158288770053474,20193,935,57
20201016,-2.770069305687106,0.2047131147540982,9920,488,46
20201017,-2.1917306404445687,0.6489698890649764,12360,631,51
20201018,-2.08934020694676,0.8283149171270713,14552,724,58
20201019,-2.1066866001312707,0.8069690265486723,17278,904,65
20201020,-2.4846462762687884,0.2481896551724137,25713,1160,100
20201021,-2.255215279652508,0.246932006633499,24229,1206,113
20201022,-2.2047486706738813,0.428883291351805,24633,1191,92
20201023,-2.8634806104763526,0.1917576961271103,22034,1007,83
20201024,-2.5387219922057085,0.2936106983655274,14877,673,54
20201025,-2.387438581196605,0.0220309810671255,12644,581,69
20201026,-2.315776693313062,0.4570257611241217,17816,854,58
20201027,-2.0713382881230875,0.3552907530981888,21364,1049,98
20201028,-2.8999094437373545,-0.0651476793248945,24474,1185,144
20201029,-2.701864657207159,0.2593495934959351,15279,738,69
20201030,-2.6572706462417943,0.2294820717131475,10495,502,50
20201031,-2.3621109181242845,0.2627397260273972,7799,365,35
20201101,-1.8848355910107777,0.2277372262773723,8650,411,33
20201102,-2.8850912307787886,-0.3408119658119659,17647,936,113
20201103,-1.8160591225381053,0.1219607843137255,15103,765,67
20201104,-0.9327498119369731,0.2290963855421686,35182,1660,150
20201105,-1.5906844823863322,0.1228789323164918,21849,1049,80
20201106,-2.1920160308163457,0.1784140969162995,9960,454,37
20201107,-1.4588946840052133,0.7002197802197802,10384,455,29
20201108,-0.5665131344668423,0.9039665970772442,10160,479,29
20201109,-1.5429776808035347,1.05359394703657,15817,793,46
20201110,-2.0931787352040754,0.8295505617977531,19889,890,57
20201111,-2.034967660138672,0.6679314565483475,16940,817,55
20201112,-1.9101856497156893,0.8655980271270037,16977,811,45
20201113,-2.055829073051468,0.6374025974025974,7368,385,28
20201114,-2.2417775571377407,1.2072368421052628,6386,304,17
20201115,-2.036075278099575,0.1875,5548,232,22
20201116,-1.563679159642972,0.8536170212765956,10631,470,38
20201117,-1.3892241220107342,0.8534749034749036,10636,518,36
20201118,-2.089069727022752,0.6138188073394493,34645,1744,126
20201119,-2.149521654898296,0.569225764476253,31264,1537,130
20201120,-2.4111811472238647,0.3227716727716728,33300,1638,161
20201121,-2.5748390954970533,0.2221206581352834,21873,1094,116
20201122,-2.486553279709119,-0.010632183908046,14223,696,77
20201123,-1.9875285709638888,-0.0166666666666666,22462,1080,115
20201124,-1.8960525814433569,0.5876470588235295,31541,1530,128
20201125,-2.1653705746949607,0.755121951219512,29019,1435,98
20201126,-1.7747003867941744,0.9684108527131784,20285,1032,68
20201127,-1.8943414705945405,0.9161172161172164,16036,819,64
20201128,-2.1350212409516267,0.6066052227342552,12755,651,59
20201129,-2.225611505630228,0.2157980456026057,12575,614,63
20201130,-2.0402872801955545,0.6095766129032255,20594,992,76
20201201,-1.837340746699616,0.7368035190615833,27118,1364,102
20201202,-1.8519099134744843,0.6516740366392922,32936,1583,123
20201203,-2.0109851089692534,0.4957665169980758,32370,1559,123
20201204,-2.14886435481816,0.4851674641148325,29148,1464,132
20201205,-2.127174475865648,0.4511881188118811,20644,1010,81
20201206,-2.0915115831420588,-0.1311294765840221,15537,726,88
20201207,-2.31440238103493,0.1187889581478183,22437,1123,119
20201208,-2.040656701923476,0.532917214191853,29783,1522,122
20201209,-2.004905052664218,0.6436232831916288,30794,1529,120
20201210,-2.1729112035095444,0.5818970861748294,31958,1613,151
20201211,-2.09245325564736,0.8363636363636363,27789,1375,99
20201212,-2.3891561458934647,0.464600938967136,20756,1065,80
20201213,-2.2000584574167674,0.2890377588306942,16680,821,82
20201214,-1.564116625302406,0.5422614840989394,30211,1415,130
20201215,-1.4357424351769006,0.8263814616755792,33654,1683,124
20201216,-1.8639421714107764,0.8665792922673659,30579,1526,106
20201217,-2.060165217239531,0.3360480640854473,31185,1498,126
20201218,-1.9418850997711008,0.6215775749674056,31108,1534,119
20201219,-1.925881331823784,0.7752952755905513,20958,1016,74
20201220,-2.2746970047062907,0.2995230524642287,12885,629,67
20201221,-2.0532636420214154,0.9274795268425842,22461,1099,92
20201222,-1.87108052663468,0.7549245147375988,28721,1391,109
20201223,-2.093687227088578,0.732796486090776,26962,1366,98
20201224,-1.9997027694156069,0.3801299907149489,21066,1077,96
20201225,-2.1187706080854607,0.639783281733746,12546,646,68
20201226,-2.591756096501924,0.3324263038548753,8782,441,42
20201227,-2.7162433756137743,0.4827838827838826,11124,546,46
20201228,-2.4165130982223744,0.5856589147286821,16232,774,66
20201229,-2.4269533282593456,0.4233944954128437,23241,1090,99
20201230,-2.34990576662235,0.3044550517104216,26280,1257,113
20201231,-2.4236655717446203,0.3386766076421247,22143,1073,97
20210101,-2.5926320028878918,-0.1328125,17430,832,76
20210102,-2.668357322810593,-0.1756554307116104,15732,801,70
20210103,-3.067844463380782,-0.2986541049798116,14817,743,70
20210104,-2.520236745091384,0.3898859315589352,27226,1315,103
20210105,-2.5144208673879462,0.3194805194805193,32358,1541,126
20210106,-2.854114265493408,-0.5038327526132405,41747,2010,256
20210107,-3.54992452170807,-0.6348490495713751,61033,2683,371
20210108,-3.436370026407108,-0.1615534929164631,40760,2047,212
20210109,-3.4757707546378107,-0.1947780678851175,33969,1532,150
20210110,-3.345176022646161,-0.0005202913631634,20418,961,122
20210111,-3.5263762121810065,-0.2915168943206325,28902,1391,153
20210112,-3.0559831130886512,0.1971443680592279,38744,1891,175
20210113,-3.391301279888145,0.2411351079859368,41664,1991,177
20210114,-3.1328803263872884,0.3767875647668392,40060,1930,145
20210115,-2.6491683938949446,0.1528873642081188,35203,1749,175
20210116,-2.5004964007589066,0.2753066230580538,23929,1223,115
20210117,-2.7802625353868105,0.1655926352128883,17448,869,88
20210118,-2.5218148504058164,0.3040703052728954,22576,1081,94
20210119,-2.1832912611839643,0.5840384615384617,31028,1560,119
20210120,-1.5909594607044006,0.8295206971677558,35322,1836,146
20210121,-1.5174904202170831,0.6493127147766324,35975,1746,142
20210122,-2.2862606608626925,0.7982478097622026,31118,1598,105
20210123,-2.6727133649357206,0.4448818897637791,21014,1016,87
20210124,-2.269392930063861,0.3292903225806452,15794,775,73
20210125,-2.325996589509998,0.511054421768707,23345,1176,103
20210126,-2.326304034675343,0.6389105058365757,35979,1799,156
20210127,-2.4135504368780234,0.6674713337356666,35045,1657,118
20210128,-2.312643214016501,0.5178778135048234,31490,1555,117
20210129,-2.159942336540967,0.6645690834473325,29714,1462,110
